City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
73,Lorengau,PG,2019-11-10 23:02:57,-2.02,147.27,83.12,73,81,7.58,moderate rain,4.5,0
74,Hobart,AU,2019-11-10 22:59:19,-42.88,147.33,61.0,54,75,9.17,broken clouds,0,0
75,Torbay,CA,2019-11-10 23:02:57,47.66,-52.73,36.0,69,20,8.05,few clouds,0,0
76,Labuhan,ID,2019-11-10 23:02:58,-2.54,115.51,82.27,69,0,0.85,clear sky,0,0
77,Kyshtovka,RU,2019-11-10 23:02:58,56.56,76.62,10.72,83,0,3.53,clear sky,0,0
78,Provideniya,RU,2019-11-10 23:02:58,64.42,-173.23,37.4,98,90,13.42,overcast clouds,0,0
79,Huilong,CN,2019-11-10 23:02:58,31.15,106.5,59.76,81,60,2.84,broken clouds,0,0
80,Port Alfred,ZA,2019-11-10 23:02:58,-33.59,26.89,63.0,96,100,5.01,light rain,0.56,0
81,Maracaibo,CO,2019-11-10 23:02:59,3.41,-75.78,80.6,57,40,13.87,scattered clouds,0,0
82,Batemans Bay,AU,2019-11-10 23:02:59,-35.71,150.18,68.0,47,36,6.51,scattered clouds,0,0
83,Ulladulla,AU,2019-11-10 23:02:59,-35.36,150.48,70.0,42,27,9.17,scattered clouds,0,0
84,Dikson,RU,2019-11-10 23:02:59,73.51,80.55,10.13,95,41,8.41,scattered clouds,0,0
85,Kiama,AU,2019-11-10 23:03:00,-34.67,150.86,70.0,42,67,9.17,broken clouds,0,0
86,Cap Malheureux,MU,2019-11-10 23:03:00,-19.98,57.61,71.01,94,20,5.82,few clouds,0,0
87,Mlowo,TZ,2019-11-10 23:03:00,-9.01,33.0,62.1,83,91,2.01,overcast clouds,0,0
88,Victoria,BN,2019-11-10 23:02:36,5.28,115.24,78.8,88,75,1.12,broken clouds,0,0
89,Vaini,IN,2019-11-10 23:03:00,15.34,74.49,66.13,80,0,5.03,clear sky,0,0
90,Thompson,CA,2019-11-10 23:00:08,55.74,-97.86,-4.01,70,40,2.24,scattered clouds,0,0
91,Mar Del Plata,AR,2019-11-10 23:03:01,-46.43,-67.52,51.67,78,27,10.92,light rain,0.44,0
92,Joaima,BR,2019-11-10 23:03:01,-16.65,-41.03,69.89,70,53,3.76,broken clouds,0,0
93,Balabac,PH,2019-11-10 23:03:01,7.99,117.06,81.93,76,18,4.72,few clouds,0,0
94,Tuatapere,NZ,2019-11-10 23:03:01,-46.13,167.69,52.0,60,100,10.0,light rain,0.44,0
95,Sampit,ID,2019-11-10 23:03:02,-2.54,112.95,81.01,82,0,0.87,light rain,1.19,0
96,Hilo,US,2019-11-10 23:03:02,19.71,-155.08,86.0,58,1,10.29,clear sky,0,0
97,Saint-Philippe,CA,2019-11-10 23:03:00,45.36,-73.48,43.0,75,90,11.41,light rain,0,0
98,Bredasdorp,ZA,2019-11-10 23:03:02,-34.53,20.04,66.0,82,100,13.87,overcast clouds,0,0
99,Barrow,AR,2019-11-10 23:03:02,-38.31,-60.23,54.5,83,69,14.34,broken clouds,0,0
